epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7349,2.63115,2.75543,1.98017,0,0,0,0,nan,nan,nan,0.00036,0.00036,0.00036
2,46.0645,1.47702,1.0533,1.20645,0,0,0,0,nan,nan,nan,0.000732674,0.000732674,0.000732674
3,70.5562,1.45348,0.95246,1.18284,0,0,0,0,nan,nan,nan,0.00109782,0.00109782,0.00109782
4,98.0095,1.40925,0.9003,1.16171,0.35797,0.21783,0.14561,0.06846,nan,nan,nan,0.00145545,0.00145545,0.00145545
5,122.172,1.45151,0.9339,1.1707,0,0,0,0,nan,nan,nan,0.00180555,0.00180555,0.00180555
6,147.565,1.39779,0.90198,1.15601,0.00149,0.00352,0.00076,0.00038,1.89702,715.484,1.2538,0.001901,0.001901,0.001901
7,169.052,1.35201,0.85666,1.13448,0.21502,0.01995,0.02614,0.01412,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,195.686,1.30293,0.84659,1.11477,0.02907,0.58271,0.02442,0.01281,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,220.233,1.23783,0.7477,1.07109,0.2371,0.66054,0.43604,0.26749,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,247.493,1.26429,0.7597,1.08469,0.40688,0.62349,0.52491,0.31511,1.70122,inf,1.66733,0.0018218,0.0018218,0.0018218
11,273.688,1.21236,0.73331,1.06528,0.49412,0.47558,0.44908,0.29354,nan,nan,nan,0.001802,0.001802,0.001802
12,300.207,1.17847,0.71611,1.05145,0.65848,0.63082,0.62012,0.40342,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,325.659,1.14871,0.70421,1.04031,0.5497,0.68653,0.62192,0.42707,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,351.214,1.12459,0.67463,1.03122,0.71641,0.67379,0.6563,0.42565,nan,nan,nan,0.0017426,0.0017426,0.0017426
15,374.436,1.13873,0.71203,1.0403,0.00809,0.01838,0.00378,0.00165,nan,nan,nan,0.0017228,0.0017228,0.0017228
16,399.112,1.09551,0.65659,1.01583,0.24245,0.06727,0.05009,0.03232,nan,nan,nan,0.001703,0.001703,0.001703
17,425.454,1.1089,0.65203,1.01594,0.7183,0.7501,0.76621,0.53257,1.04834,1.87877,1.09616,0.0016832,0.0016832,0.0016832
18,448.683,1.0979,0.64564,1.01849,0.856,0.82067,0.86606,0.60315,0.98137,0.69602,0.99845,0.0016634,0.0016634,0.0016634
19,472.849,1.07564,0.63415,0.99704,0.73672,0.43919,0.46328,0.28061,nan,nan,nan,0.0016436,0.0016436,0.0016436
20,497.068,1.07364,0.63215,1.00234,0.84814,0.77708,0.83257,0.57635,nan,nan,nan,0.0016238,0.0016238,0.0016238
21,522.264,1.06126,0.62445,0.99841,0.75009,0.76063,0.78823,0.54203,1.01454,1.0621,1.00396,0.001604,0.001604,0.001604
22,546.257,1.03711,0.60517,0.99377,0.56383,0.71099,0.62241,0.43655,nan,nan,nan,0.0015842,0.0015842,0.0015842
23,570.901,1.03971,0.61053,0.98979,0.87492,0.83887,0.89623,0.64764,0.81823,0.90074,0.946,0.0015644,0.0015644,0.0015644
24,595.396,1.01629,0.5977,0.98464,0.83576,0.84239,0.8815,0.63957,0.84395,0.83259,0.9471,0.0015446,0.0015446,0.0015446
25,619.523,0.99955,0.57413,0.9739,0.85872,0.83887,0.8906,0.65061,0.84617,0.69917,0.94143,0.0015248,0.0015248,0.0015248
26,643.755,1.00551,0.57225,0.97451,0.88255,0.85334,0.90097,0.65453,0.8722,0.53682,0.94793,0.001505,0.001505,0.001505
27,669.012,0.98929,0.56454,0.96914,0.83819,0.85491,0.87987,0.63571,0.85748,0.72715,0.95079,0.0014852,0.0014852,0.0014852
28,692.106,0.99092,0.56688,0.97621,0.84081,0.83575,0.87892,0.64299,0.81093,0.67938,0.93365,0.0014654,0.0014654,0.0014654
29,715.454,1.003,0.57118,0.97246,0.88696,0.86532,0.91303,0.67353,0.81861,0.52559,0.92679,0.0014456,0.0014456,0.0014456
30,739.165,1.00684,0.56472,0.96838,0.85933,0.83887,0.87617,0.63174,0.9023,0.85293,0.97743,0.0014258,0.0014258,0.0014258
